Course Name,Instructor/Institution,Description,Level,Platform,Course Link,Rating
Agile Projects:  Developing Tasks with Taiga,Coursera Project Network,"By the end of this guided project, you will be fluent in creating tasks for Agile projects based on previous project phases. This will enable you to identify ""How"" the customer/user will experience the product or service. You will learn how to encapsulate value for the customer in these tasks.   This is essential for generating positive results for your business venture. Furthermore, this guided project is designed to engage and harness your visionary and exploratory abilities. You will use proven models in Agile Project Management with Taiga to shape the development roadmap of products and services.   We will practice critically defining how user stories become valuable tasks for creating functionality for products and services.",Beginner,Coursera,https://www.coursera.org/learn/developing-agile-tasks-taiga,4.0
Esports Management Capstone Project,"University of California, Irvine","We will analyze the pros and cons of creating a single or multiple Esport organization and recommend an effective branding strategy for a hypothetical Esport organization based on current Esport branding considerations. You will develop a plan for recruiting funding resources for a hypothetical Esports organization and choose an Esport organization role of interest, other than Owner, and describe your reasoning.",Beginner,Coursera,https://www.coursera.org/learn/esports-management-capstone-project,4.4
Hacking and Patching,University of Colorado System,"In this MOOC, you will learn how to hack web apps with command injection vulnerabilities in a web site of your AWS Linux instance.   You will learn how to search valuable information on a typical Linux systems with LAMP services, and deposit and hide Trojans for future exploitation.  You will learn how to patch these web apps with input validation using regular expression. You will learn a security design pattern to avoid introducing injection vulnerabilities by input validation and replacing generic system calls with specific function calls.  You will learn how to hack web apps with SQL injection vulnerabilities and retrieve user profile information and passwords.  You will learn how to patch them with input validation and SQL parameter binding.  You will learn the hacking methodology, Nessus tool for scanning vulnerabilities, Kali Linux for penetration testing, and Metasploit Framework for gaining access to vulnerable Windows Systems, deploying keylogger, and perform Remote VNC server injection.  You will learn security in memory systems and virtual memory layout, and understand buffer overflow attacks and their defenses.  You will learn how to clone a Kali instance with AWS P2 GPU support and perform hashcat password cracking using dictionary attacks and known pattern mask attacks.",Advanced,Coursera,https://www.coursera.org/learn/hacking-patching,3.4
Business Statistics and Analysis Capstone,Rice University,"The Business Statistics and Analysis Capstone is an opportunity to apply various skills developed across the four courses in the specialization to a real life data. The Capstone, in collaboration with an industry partner uses publicly available �Housing Data� to pose various questions typically a client would pose to a data analyst. Your job is to do the relevant statistical analysis and report your findings in response to the questions in a way that anyone can understand. Please remember that this is a Capstone, and has a degree of difficulty/ambiguity higher than the previous four courses. The aim being to mimic a real life application as close as possible.",Beginner,Coursera,https://www.coursera.org/learn/business-statistics-analysis-capstone,4.7
Grab Data Fast with Vertical and Horizontal LOOKUP,Coursera Project Network,"Data can come our way in multiple forms and from multiple file types. It�s likely that at some point you will be faced with a data set that includes categories and subcategories under one heading or under headings with nested subheadings. Cutting through the file structure can seem like a time-consuming task, so it is critical to leverage VLOOKUP and HLOOKUP to pull out the needed data quickly. In this course you will understand how lookup tables work and apply VLOOKUP and HLOOKUP formulas to quickly extract data by treating a section of your spreadsheet as a lookup table. You will do this as we work side-by-side in the free-to-use software Google Sheets.  By the end of this course, you will understand use cases for using vertical and horizontal lookup to extract data when data sets have categories configured with multiple levels. You will also be able to confidently apply VLOOKUP and HLOOKUP formulas to grab data in any spreadsheet software.   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Beginner,Coursera,https://www.coursera.org/learn/grab-data-fast-with-vertical-and-horizontal-lookup-in-google-sheets,4.5
Global Health: An Interdisciplinary Overview,University of Geneva,"This course proposes an overview of current global health challenges drawing on the insights of several academic disciplines including medicine, public health, law, economics, social sciences and humanities. This interdisciplinary approach will guide the student into seven critical topics in global health.",Beginner,Coursera,https://www.coursera.org/learn/global-health-overview,4.6
Python Programming Essentials,Rice University,"This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs. We will cover expressions, variables, functions, logic, and conditionals, which are foundational concepts in computer programming. We will also teach you how to use Python modules, which enable you to benefit from the vast array of functionality that is already a part of the Python language. These concepts and skills will help you to begin to think like a computer programmer and to understand how to go about writing Python programs.  By the end of the course, you will be able to write short Python programs that are able to accomplish real, practical tasks. This course is the foundation for building expertise in Python programming. As the first course in a specialization, it provides the necessary building blocks for you to succeed at learning to write more complex Python programs.  This course uses Python 3.  While many Python programs continue to use Python 2, Python 3 is the future of the Python programming language. This first course will use a Python 3 version of the CodeSkulptor development environment, which is specifically designed to help beginning programmers learn quickly.  CodeSkulptor runs within any modern web browser and does not require you to install any software, allowing you to start writing and running small programs immediately.  In the later courses in this specialization,  we will help you to move to more sophisticated desktop development environments.",Beginner,Coursera,https://www.coursera.org/learn/python-programming,4.8
Creating Dashboards and Storytelling with Tableau,"University of California, Davis","Leveraging the visualizations you created in the previous course, Visual Analytics with Tableau, you will create dashboards that help you identify the story within your data, and you will discover how to use Storypoints to create a powerful story to leave a lasting impression with your audience.  You will balance the goals of your stakeholders with the needs of your end-users, and be able to structure and organize your story for maximum impact. Throughout the course you will apply more Advanced functions within Tableau, such as hierarchies, actions and parameters to guide user interactions.  For your final project, you will create a compelling narrative to be delivered in a meeting, as a static report, or in an interactive display online.",Advanced,Coursera,https://www.coursera.org/learn/dataviz-dashboards,4.6
Parallel programming,�cole Polytechnique F�d�rale de Lausanne,"With every smartphone and computer now boasting multiple processors, the use of functional ideas to facilitate parallel programming is becoming increasingly widespread. In this course, you'll learn the fundamentals of parallel programming, from task parallelism to data parallelism. In particular, you'll see how many familiar ideas from functional programming map perfectly to to the data parallel paradigm. We'll start the nuts and bolts how to effectively parallelize familiar collections operations, and we'll build up to parallel collections, a production-ready data parallel collections library available in the Scala standard library. Throughout, we'll apply these concepts through several hands-on examples that analyze real-world data, such as popular algorithms like k-means clustering.  Learning Outcomes. By the end of this course you will be able to:  - reason about task and data parallel programs, - express common algorithms in a functional style and solve them in parallel, - competently microbenchmark parallel code, - write programs that effectively use parallel collections to achieve performance  Recommended background: You should have at least one year programming experience. Proficiency with Java or C# is ideal, but experience with other languages such as C/C++, Python, Javascript or Ruby is also sufficient. You should have some familiarity using the command line. This course is intended to be taken after Functional Program Design in Scala: https://www.coursera.org/learn/progfun2.",Beginner,Coursera,https://www.coursera.org/learn/parprog1,4.4
Recommendation Systems with TensorFlow on GCP,Google Cloud,"In this course, you'll apply your knowledge of classification models and embeddings to build a ML pipeline that functions as a recommendation engine.  � Devise a content-based recommendation engine � Implement a collaborative filtering recommendation engine � Build a hybrid recommendation engine with user and content embeddings  >>> By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",Advanced,Coursera,https://www.coursera.org/learn/recommendation-models-gcp,4.2
The Changing Arctic,National Research Tomsk State University,"What will I learn? After taking this course you will have an understanding of Arctic landscapes, how they were formed and how they are changing. You will also learn how scientists from countries around the North are working together to understand how these changes will affect the People of the North and the global community. You will experience a range of scientific topics, up-to-date-methods for understanding our environment, and the current consensus views on the future of the Arctic environment.  Do I need prior knowledge? No prior knowledge is needed for this course; participants should only come equipped with natural curiosity and a willingness to invest time in understanding an environmental issue of global concern. The terms and concepts are targeted at an educated public, not specialists, but resources will be provided so those who are motivated can explore some issues in more depth.",Intermediate,Coursera,https://www.coursera.org/learn/changing-arctic,4.3
COVID-19 - A clinical update,University of Florida,"As an expert in infectious diseases, editor of the Journal of Infectious Diseases and author of the textbook Infectious Diseases: A clinical short course, McGraw-Hill April 2020, I have been concerned about the misinformation being shared about the COVID-19 epidemic. How did this disease develop? Where did it come from? How does it cause diseases?  The answers to these questions will be answered in the first video of module 1. The world has been startled and frightened by the rapid spread of this virus throughout the world. In Video 2  the epidemiology as presently understood is reviewed. This video will be periodically updated recognizing the rapid progression of the pandemic. Many want to know how does this disease present, what are the symptoms associated with COVID-19? How dangerous is COVID-19? Who is at risk of dying? All these questions are answered in Video 3. And finally how is this disease best treated and how can we slow the spread of the infection? These questions are answered in video 4.  In addition to the videos multiple choice questions are included to test your understanding and there is an epidemiology peer reviewed exercise designed to teach you how this infection is spread and to show the power of the tracing of cases and isolating those who are infected. The second peer review exercise will encourage you to create a campaign to shift your countries culture to embrace behaviors that can lead to suppression of the epidemic, behaviors that will save lives. After completing this course you will be armed with the knowledge and skills to make a difference and help to bend the curve.",Beginner,Coursera,https://www.coursera.org/learn/covid19clinicalupdate,4.7
How to Create Text Effects in GIMP,Coursera Project Network,"In this 1-hour long project-based course, you will learn how to add a myriad of text effects. You will learn how to make your text stand out from the background, how to add a border to your text and how to make a text outline. You will learn how to place an image inside text and how to place a gradient inside text. You will learn how to place text on a path and how to make 3D text. You will also learn how to add filters to your text to generate your own text effects.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Beginner,Coursera,https://www.coursera.org/learn/how-to-create-text-effects-in-gimp,4.7
Preparing for the Google Cloud Professional Data Engineer Exam,Google Cloud,"From the course: ""The best way to prepare for the exam is to be competent in the skills required of the job.""  This course uses a top-down approach to recognize knowledge and skills already known, and to surface information and skill areas for additional preparation. You can use this course to help create your own custom preparation plan. It helps you distinguish what you know from what you don't know. And it helps you develop and practice skills required of practitioners who perform this job.  The course follows the organization of the Exam Guide outline, presenting highest-level concepts, ""touchstones"", for you to determine whether you feel confident about your knowledge of that area and its dependent concepts, or if you want more study. You also will learn about and have the opportunity to practice key job skills, including cognitive skills such as case analysis, identifying technical watchpoints, and developing proposed solutions. These are job skills that are also exam skills. You will also test your basic abilities with Activity Tracking Challenge Labs. And you will have many sample questions similar to those on the exam, including solutions. The end of the course contains an ungraded practice exam quiz, followed by a graded practice exam quiz that simulates the exam-taking experience.  New! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud Enroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate  or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits;   => Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching  => 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests",Beginner,Coursera,https://www.coursera.org/learn/preparing-cloud-professional-data-engineer-exam,4.5
Multiple Regression Analysis in Public Health,Johns Hopkins University,"Biostatistics is the application of statistical reasoning to the life sciences, and it's the key to unlocking the data gathered by researchers and the evidence presented in the scientific public health literature. In this course, you'll extend simple regression to the prediction of a single outcome of interest on the basis of multiple variables. Along the way, you'll be introduced to a variety of methods, and you'll practice interpreting data and performing calculations on real data from published studies.  Topics include multiple logistic regression, the Spline approach, confidence intervals, p-values, multiple Cox regression, adjustment, and effect modification.",Intermediate,Coursera,https://www.coursera.org/learn/multiple-regression-analysis-public-health,4.6
General Pathophysiology,Saint Petersburg State University,"Dear listeners!  Warning: this course contains shocking materials and is not recommended for viewing to persons with weak psyche, minors and pregnant women.  The course describes subject and methods of Pathophysiology, its place within system of biomedical sciences and history.  It includes General Nosology (concept of health and disease, general etiology and pathogenesis, pathological processes and states, role of causal factors, conditions, reactivity and somatotype in pathology). It gives systematic of locally and centrally driven typical pathological processes: arterial, venous and combined hyperemiae, stasis, inflammation, immunopathological processes (including allergy and autoimmune disorders) acute phase response, fever, stress, shock, etc. Course deals with functional, metabolic and informational aspects of typical pathologic processes, like disorders of signaling, reception, post � receptor translation, programming and program archiving, conflicts of programs in living systems. It contains the consequent analysis of the injury and defensive responses as regards separate cells, organs and tissues and the whole organism. The lectures based on author�s original three-volumed textbook and workshop in Pathophysiology republished in Russia many times.",Intermediate,Coursera,https://www.coursera.org/learn/pathophysiology,4.0
Population Health: Alternative Payment Models,Universiteit Leiden,"The way we currently pay our care providers lead to suboptimal outcomes and unnecessary spending. Consequently, we fail to maximize the value of our health care services. We need to change provider payment models in order to keep health care systems financial sustainability. Doing nothing is not an option. But the question is, how do we do it?   During this course, we will discuss the rationale for payment reforms and dive into the key design elements of Alternative Payment Models (APMs) and how they change care provider incentives. You will learn about a roadmap to design and implement APMs on your own. You will learn about behavioural economics and human behaviour which are essential to advance the design and implementation of APMs. After the course you can apply your sharpened skills to lead change in health care via innovative payment models in order to increase value of health care services.  This course is targeted at a variety of professionals in the healthcare sector in order to realise a common language. Are you a provider, board member, working at a public or private payer or researcher working in the health sector, this course is relevant for you!  This Course is part of the to-be-developed Leiden University master program Population Health Management. If you wish to find out more about this program see the last reading of this Course!",Advanced,Coursera,https://www.coursera.org/learn/alternative-payment-models,4.9
AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,Coursera Project Network,"In this 1-hour long project-based course, you will learn how to create a Node.js RESTful API & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Express.js, or simply Express, a back end web application framework for Node.js framework to create your RESTful API & AWS desktop management console to deploy the RESTful API to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your API applications & also, monitoring your AWS servers using Elastic Beanstalk Management Console.  Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",Advanced,Coursera,https://www.coursera.org/learn/nodejs-api-aws-elastic-beanstalk,5.0
"Philosophy, Science and Religion: Philosophy and Religion",The University of Edinburgh,"Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it. Are these modes incompatible? Put another way: is the intellectually responsible thing to do to �pick sides� and identify with one of these approaches at the exclusion of others? Or, are they complementary or mutually supportive? As is typical of questions of such magnitude, the devil is in the details. For example, it is important to work out what is really distinctive about each of these ways of inquiring about the world. In order to gain some clarity here, we�ll be investigating what some of the current leading thinkers in philosophy, science and religion are actually doing.  This course, entitled �Philosophy and Religion�, is the second of three related courses in our Philosophy, Science and Religion Online series, and in this course we will ask important questions about the age-old debate between science and religion, such as:   �  What kind of conflicts are there between religion and science? �  Does current cognitive science of religion effectively explain away God? �  If there is a God who has made us so that we can know him, why do some people not believe? �  Is belief in science also a kind of fundamentalism? �  What makes us good at getting, giving, or sharing, knowledge? Is this different when it is religious knowledge?  The first course in the Philosophy, Science and Religion series, 'Science and Philosophy' was launched early in 2017 and you can sign up to it at any time. The third course ��Religion and Science��will be launched early in 2018. Completing all three courses will give you a broader understanding of this fascinating topic. Look for:   � Philosophy, Science and Religion I: Science and Philosophy https://www.coursera.org/learn/philosophy-science-religion-1/ � Philosophy, Science and Religion III: Religion and Science  Upon successful completion of all three courses, students will:  (1) Understand the main parameters at stake in the current debate between science and religion. (2) Have some familiarity with the relevant areas of science that feature in the debate�including cosmology, evolution, and the neurosciences�and will have begun to engage with them conceptually. (3) Have encountered key philosophical approaches to the interface between science and religion, and will have had the opportunity to engage them in practice. (4) Have embarked constructively in cross-disciplinary conversations. (5) Have demonstrated an openness to personal growth through a commitment to dialogue across intellectual and spiritual boundaries.  You can also follow us on Twitter at https://twitter.com/EdiPhilOnline and you can follow the hashtag #psrmooc",Intermediate,Coursera,https://www.coursera.org/learn/philosophy-science-religion-2,4.6
Poverty & Population: How Demographics Shape Policy,Columbia University,"This course has four modules, or foci.  The first is to understand the categories of social welfare�populations, income, earnings, and assets� and some related concepts that play a very large role in shaping policy decisions: unemployment, inflation, and the minimum wage.  The second deals with the central institution of social welfare�the labor market, which largely determines how many resources a person has.  The labor market also establishes hierarchy, both through meritocracy and through categories of privilege.  The third is poverty: the differing ways we define who is poor, and how effective U.S. anti-poverty efforts have been.  The final module looks directly at federal decision making, the political organization of ideas, the structure of U.S. government, and the legislative process that shapes much of our social policy. This course addresses issues of power, oppression, and white supremacy.  The course is part of a sequence in social policy that has an HONORS TRACK. This track will prepare the learner for masters-level work in policy, which involves reading the literature, writing concise summaries and probing critiques. Over the sequence the learner will develop a policy analysis that will create a foundation for professional policy analyst assignments.",Advanced,Coursera,https://www.coursera.org/learn/poverty-population-demographics-policy,4.9
Electrodynamics: Analysis of Electric Fields,Korea Advanced Institute of Science and Technology(KAIST),"This course is a continuation of Electrodynamics: An Introduction. Here, we will cover different methods of calculating an electric field. In addition, we will introduce polarization, dielectrics, and how electric fields create dipoles.   Learners will  �\tBe able to apply symmetry and other tools to calculate the electric field. �\tUnderstand what susceptibility, polarization, and dipoles are.  Additionally, students will learn to visualize Maxwell equations in order to apply the derived mathematics to other fields, such as heat/mass diffusion and meso-scale electromechanical properties, and to create patents that could lead to potential innovations in energy storage and harvesting. The approach taken in this course complements traditional approaches, covering a fairly complete treatment of the physics of electricity and magnetism, and adds Feynman�s unique and vital approach to grasping a picture of the physical universe. Furthermore, this course uniquely provides the link between the knowledge of electrodynamics and its practical applications to research in materials science, information technology, electrical engineering, chemistry, chemical engineering, energy storage, energy harvesting, and other materials related fields.",Intermediate,Coursera,https://www.coursera.org/learn/electrodynamics-analysis-of-electric-fields,4.8
The Music of American English Pronunciation,"University of California, Irvine","In this third course of The Pronunciation of American English specialization, you will learn and practice the ""music"" of American English, the features of pronunciation such as stress, rhythm, and intonation that will help improve your listening comprehension as well as your ability to communicate more clearly. Each week you will receive practical advice from successful English learners and practice an effective technique called shadowing to improve your pronunciation of the musical features of English.  You will also have opportunities to record yourself and to respond to the recordings of other learners.  Only learners who pay for the course will be able to take the graded quizzes or submit assignments for feedback. The free version provides access to the lectures and practice activities only.",Beginner,Coursera,https://www.coursera.org/learn/american-english-pronunciation-music,4.7
Fundamentals of Management,"University of California, Irvine","Are you about to enter the workforce? Are you an emerging professional? Are you new to your role in the organization? All prospective new employees benefit from understanding management principles, roles and responsibilities, regardless of position.  Now you can acquire an in-depth understanding of the basic concepts and theories of management while exploring the manager's operational role in all types of organizations. Gain insight into the manager's responsibility in planning, organizing, leading, staffing and controlling within the workplace. It�s never too soon to plan your professional path by learning how the best managers manage for success!  Upon completing this course, you will be able to: 1.       Describe the difference between managers and leaders 2.       Explore the focus of a manager�s job 3.       Cite the required skills for a new manager�s success 4.       Describe the five functions of management 5.       Explain the new model management operating philosophy 6.       Describe the hierarchy of planning 7.       Use the SMART goal setting technique 8.       Discuss the concept of evolution of leadership 9.       Explain how customer satisfaction is linked to controlling 10.     Discuss the power of building a network",Beginner,Coursera,https://www.coursera.org/learn/fundamentals-of-management,4.5
